particle,turning_point,v_e,v_g,n,size,ecc,signal,mass,ep
5,181,8.923268831185553e-08,-1.0675028535449698e-06,0.008676408480208512,2.8392831747494185,0.25360417451361134,75.6906019560338,2247.979511959216,0.00674854029112298
9,181,5.23497942364625e-07,-1.6234997381762022e-06,0.019859992248199076,2.6470918803935706,0.2507412573571959,41.12567633281329,969.9051710030725,0.01654454239708225
15,193,7.22994277793631e-07,-1.46976049492502e-06,0.01929899696748758,2.399491183575988,0.2492951317588095,57.34624406176137,1169.4762643290085,0.01882233196133055
34,186,6.309461465642073e-07,-1.955972094189397e-06,0.026265484616383852,2.4159135066912323,0.15692862598204854,60.371345849175725,1174.4283382163337,0.016432707232822398
39,181,1.859872183777254e-06,-4.199921583875837e-06,0.09015707700737585,2.8428394605142513,0.207176215220309,22.59580025029128,647.1106191979259,0.01527210352871732
41,180,7.985982143957197e-07,-9.429919411976221e-07,0.012277822195424424,2.501753362099545,0.2013898802827338,93.14345605896871,2224.814649215837,0.009483433336952058
49,181,3.5126190308565293e-07,-3.1716510619800488e-06,0.04554765289946058,2.6779526030484613,0.34754804843032966,131.0026333924528,3272.1161851692837,0.009187370857530621
